gene_name	uniprot_id	uniprot_len	mane_uniprot_id	mane_uniprot_len	accession_agrees	mane_refseq_nuc	mane_refseq_prot	mane_ensembl	mane_prot_len	numbering_ok
MEF2A	Q02078	507	Q02078	507	TRUE	NM_001319206.4	NP_001306135.1	ENST00000557942.6	505	FALSE
P4HA2	O15460	535	O15460	535	TRUE	NM_001017974.2	NP_001017974.1	ENST00000360568.8	533	FALSE
PRKCB	P05771	671	P05771	671	TRUE	NM_002738.7	NP_002729.2	ENST00000643927.1	673	FALSE
PRRC2C	Q9Y520	2896	Q9Y520	2896	TRUE	NM_001387844.1	NP_001374773.1	ENST00000647382.2	2898	FALSE
PUM1	Q14671	1186	Q14671	1186	TRUE	NM_001020658.2	NP_001018494.1	ENST00000426105.7	1188	FALSE
PUM2	Q8TB72	1066	Q8TB72	1066	TRUE	NM_015317.5	NP_056132.1	ENST00000361078.7	1064	FALSE
RBM45	Q8IUH3	476	Q8IUH3	476	TRUE	NM_152945.4	NP_694453.2	ENST00000286070.10	474	FALSE
REEP2	Q9BRK0	252	Q9BRK0	252	TRUE	NM_001271803.2	NP_001258732.1	ENST00000378339.7	254	FALSE
SAFB	Q15424	915	Q15424	915	TRUE	NM_001201338.2	NP_001188267.1	ENST00000588852.2	917	FALSE
SLC44A5	Q8NCS7	719	Q8NCS7	719	TRUE	NM_001130058.2	NP_001123530.1	ENST00000370859.8	717	FALSE
SMTN	P53814	917	P53814	917	TRUE	NM_134269.3	NP_599031.1	ENST00000333137.12	915	FALSE
TSBP1	Q5SRN2	563	Q5SRN2	563	TRUE	NM_001286474.2	NP_001273403.1	ENST00000533191.6	561	FALSE
UNC45B	Q8IWX7	931	Q8IWX7	931	TRUE	NM_001267052.2	NP_001253981.1	ENST00000394570.7	929	FALSE
XRCC4	Q13426	336	Q13426	336	TRUE	NM_003401.5	NP_003392.1	ENST00000396027.9	334	FALSE
ZNF17	P17021	662	P17021	662	TRUE	NM_001330617.2	NP_001317546.1	ENST00000307658.12	664	FALSE
ABCA2	Q9BZC7	2435	Q9BZC7	2435	TRUE	NM_001606.5	NP_001597.2	ENST00000341511.11	2436	FALSE
AMOTL2	Q9Y2J4	779	Q9Y2J4	779	TRUE	NM_016201.4	NP_057285.3	ENST00000249883.10	780	FALSE
ANGPT2	O15123	496	O15123	496	TRUE	NM_001118887.2	NP_001112359.1	ENST00000629816.3	495	FALSE
ANK1	P16157	1881	P16157	1881	TRUE	NM_000037.4	NP_000028.3	ENST00000289734.13	1880	FALSE
ANTXR2	P58335	489	P58335	489	TRUE	NM_058172.6	NP_477520.2	ENST00000403729.7	488	FALSE
APBB2	Q92870	758	Q92870	758	TRUE	NM_004307.2	NP_004298.1	ENST00000508593.6	759	FALSE
APLP1	P51693	650	P51693	650	TRUE	NM_001024807.3	NP_001019978.1	ENST00000221891.9	651	FALSE
ARHGAP25	P42331	645	P42331	645	TRUE	NM_001007231.3	NP_001007232.2	ENST00000409202.8	646	FALSE
ARID3B	Q8IVW6	561	Q8IVW6	561	TRUE	NM_006465.4	NP_006456.1	ENST00000346246.10	560	FALSE
BOC	Q9BWV1	1114	Q9BWV1	1114	TRUE	NM_001378074.1	NP_001365003.1	ENST00000682979.1	1115	FALSE
C11orf68	Q9H3H3	292	Q9H3H3	292	TRUE	NM_001135635.2	NP_001129107.1	ENST00000438576.3	293	FALSE
CASP10	Q92851	521	Q92851	521	TRUE	NM_032977.4	NP_116759.2	ENST00000286186.11	522	FALSE
CEACAM19	Q7Z692	300	Q7Z692	300	TRUE	NM_001127893.3	NP_001121365.1	ENST00000358777.10	299	FALSE
CEP85	Q6P2H3	762	Q6P2H3	762	TRUE	NM_001319944.2	NP_001306873.1	ENST00000451429.8	761	FALSE
CES1	P23141	567	P23141	567	TRUE	NM_001025195.2	NP_001020366.1	ENST00000360526.8	568	FALSE
CKAP2	Q8WWK9	683	Q8WWK9	683	TRUE	NM_018204.5	NP_060674.3	ENST00000258607.10	682	FALSE
CNTLN	Q9NXG0	1405	Q9NXG0	1405	TRUE	NM_017738.4	NP_060208.2	ENST00000380647.8	1406	FALSE
COL4A6	Q14031	1691	Q14031	1691	TRUE	NM_033641.4	NP_378667.1	ENST00000334504.12	1690	FALSE
CYP4B1	P13584	511	P13584	511	TRUE	NM_001099772.2	NP_001093242.1	ENST00000371923.9	512	FALSE
CYTH2	Q99418	400	Q99418	400	TRUE	NM_004228.7	NP_004219.3	ENST00000452733.7	399	FALSE
CYTH3	O43739	400	O43739	400	TRUE	NM_004227.4	NP_004218.1	ENST00000350796.8	399	FALSE
CYYR1	Q96J86	154	Q96J86	154	TRUE	NM_001320768.2	NP_001307697.2	ENST00000652641.2	155	FALSE
DHRS7C	A6NNS2	312	A6NNS2	312	TRUE	NM_001105571.3	NP_001099041.1	ENST00000571134.2	311	FALSE
FAM149A	A5PLN7	773	A5PLN7	773	TRUE	NM_001395294.1	NP_001382223.1	ENST00000706927.1	772	FALSE
FKBP8	Q14318	412	Q14318	412	TRUE	NM_012181.5	NP_036313.3	ENST00000608443.6	413	FALSE
FMNL3	Q8IVF7	1028	Q8IVF7	1028	TRUE	NM_175736.5	NP_783863.4	ENST00000335154.10	1027	FALSE
FRG2	Q64ET8	278	Q64ET8	278	TRUE	NM_001286820.2	NP_001273749.1	ENST00000504750.6	279	FALSE
GAB3	Q8WWW8	586	Q8WWW8	586	TRUE	NM_001081573.3	NP_001075042.1	ENST00000424127.3	587	FALSE
GATA3	P23771	443	P23771	443	TRUE	NM_001002295.2	NP_001002295.1	ENST00000379328.9	444	FALSE
GATA4	P43694	442	P43694	442	TRUE	NM_001308093.3	NP_001295022.1	ENST00000532059.6	443	FALSE
GATAD2A	Q86YP4	633	Q86YP4	633	TRUE	NM_001384528.1	NP_001371457.1	ENST00000683918.1	634	FALSE
GUCD1	Q96NT3	240	Q96NT3	240	TRUE	NM_001284254.2	NP_001271183.1	ENST00000435822.6	239	FALSE
HLA-DQA1	P01909	254	P01909	254	TRUE	NM_002122.5	NP_002113.2	ENST00000343139.11	255	FALSE
HMMR	O75330	724	O75330	724	TRUE	NM_001142556.2	NP_001136028.1	ENST00000393915.9	725	FALSE
HNRNPK	P61978	463	P61978	463	TRUE	NM_031263.4	NP_112553.1	ENST00000376263.8	464	FALSE
HROB	Q8N3J3	647	Q8N3J3	647	TRUE	NM_001171251.3	NP_001164722.1	ENST00000585683.6	646	FALSE
ING4	Q9UNL4	249	Q9UNL4	249	TRUE	NM_016162.4	NP_057246.2	ENST00000341550.9	248	FALSE
INTS3	Q68E01	1043	Q68E01	1043	TRUE	NM_023015.5	NP_075391.3	ENST00000318967.7	1042	FALSE
IPCEF1	Q8WWN9	437	Q8WWN9	437	TRUE	NM_001130700.2	NP_001124172.1	ENST00000367220.9	438	FALSE
KIF17	Q9P2E2	1029	Q9P2E2	1029	TRUE	NM_001122819.3	NP_001116291.1	ENST00000400463.8	1028	FALSE
KRAS	P01116	189	P01116	189	TRUE	NM_004985.5	NP_004976.2	ENST00000311936.8	188	FALSE
LILRB5	O75023	590	O75023	590	TRUE	NM_001081442.3	NP_001074911.2	ENST00000449561.3	591	FALSE
MCM10	Q7L590	875	Q7L590	875	TRUE	NM_018518.5	NP_060988.3	ENST00000378714.8	874	FALSE
MRPL52	Q86TS9	123	Q86TS9	123	TRUE	NM_180982.3	NP_851313.1	ENST00000397496.7	122	FALSE
NFKB1	P19838	968	P19838	968	TRUE	NM_003998.4	NP_003989.2	ENST00000226574.9	969	FALSE
NKAPD1	Q6ZUT1	292	Q6ZUT1	292	TRUE	NM_018195.4	NP_060665.3	ENST00000393047.8	293	FALSE
NLRP6	P59044	892	P59044	892	TRUE	NM_001276700.2	NP_001263629.1	ENST00000534750.6	891	FALSE
OXR1	Q8N573	874	Q8N573	874	TRUE	NM_001198533.2	NP_001185462.1	ENST00000517566.7	873	FALSE
PARD6A	Q9NPB6	346	Q9NPB6	346	TRUE	NM_001037281.2	NP_001032358.1	ENST00000458121.7	345	FALSE
PHC2	Q8IXK0	858	Q8IXK0	858	TRUE	NM_001385109.1	NP_001372038.1	ENST00000683057.1	859	FALSE
PHF21A	Q96BD5	680	Q96BD5	680	TRUE	NM_001352027.3	NP_001338956.1	ENST00000676320.1	681	FALSE
PLCG1	P19174	1290	P19174	1290	TRUE	NM_002660.3	NP_002651.2	ENST00000685551.1	1291	FALSE
PRPF4	O43172	522	O43172	522	TRUE	NM_001244926.2	NP_001231855.1	ENST00000374198.5	521	FALSE
PSD3	Q9NYI0	1048	Q9NYI0	1048	TRUE	NM_015310.4	NP_056125.3	ENST00000327040.13	1047	FALSE
PTMA	P06454	111	P06454	111	TRUE	NM_002823.5	NP_002814.3	ENST00000409115.8	110	FALSE
PTPRK	Q15262	1439	Q15262	1439	TRUE	NM_002844.4	NP_002835.2	ENST00000368226.9	1440	FALSE
RABL2A	Q9UBK7	228	Q9UBK7	228	TRUE	NM_001306158.2	NP_001293087.1	ENST00000683472.1	229	FALSE
RABL2B	Q9UNT1	228	Q9UNT1	228	TRUE	NM_001130919.3	NP_001124391.1	ENST00000691320.1	229	FALSE
RASA2	Q15283	850	Q15283	850	TRUE	NM_006506.5	NP_006497.2	ENST00000286364.9	849	FALSE
RASAL1	O95294	804	O95294	804	TRUE	NM_001301202.2	NP_001288131.1	ENST00000548055.2	805	FALSE
RFC1	P35251	1148	P35251	1148	TRUE	NM_002913.5	NP_002904.3	ENST00000349703.7	1147	FALSE
RNF19B	Q6ZMZ0	732	Q6ZMZ0	732	TRUE	NM_001300826.2	NP_001287755.1	ENST00000235150.5	731	FALSE
SCN5A	Q14524	2016	Q14524	2016	TRUE	NM_000335.5	NP_000326.2	ENST00000423572.7	2015	FALSE
SERPINE2	P07093	398	P07093	398	TRUE	NM_001136528.2	NP_001130000.1	ENST00000409304.6	397	FALSE
SGCD	Q92629	289	Q92629	289	TRUE	NM_000337.6	NP_000328.2	ENST00000337851.9	290	FALSE
SHC1	P29353	583	P29353	583	TRUE	NM_001130040.2	NP_001123512.1	ENST00000448116.7	584	FALSE
SLC25A3	Q00325	362	Q00325	362	TRUE	NM_002635.4	NP_002626.1	ENST00000552981.6	361	FALSE
SLC49A3	Q6UXD7	560	Q6UXD7	560	TRUE	NM_032219.4	NP_115595.2	ENST00000322224.9	559	FALSE
SMOC1	Q9H4F8	434	Q9H4F8	434	TRUE	NM_001034852.3	NP_001030024.1	ENST00000361956.8	435	FALSE
SPATA33	Q96N06	139	Q96N06	139	TRUE	NM_001271907.2	NP_001258836.1	ENST00000579310.6	140	FALSE
STIL	Q15468	1287	Q15468	1287	TRUE	NM_001048166.1	NP_001041631.1	ENST00000371877.8	1288	FALSE
TBX4	P57082	545	P57082	545	TRUE	NM_001321120.2	NP_001308049.1	ENST00000644296.1	546	FALSE
TCOF1	Q13428	1488	Q13428	1488	TRUE	NM_001371623.1	NP_001358552.1	ENST00000643257.2	1489	FALSE
TMEM131L	A2VDJ0	1609	A2VDJ0	1609	TRUE	NM_001131007.2	NP_001124479.1	ENST00000409959.8	1610	FALSE
TMPRSS3	P57727	454	P57727	454	TRUE	NM_001256317.3	NP_001243246.1	ENST00000644384.2	453	FALSE
TMTC3	Q6ZXV5	915	Q6ZXV5	915	TRUE	NM_181783.4	NP_861448.2	ENST00000266712.11	914	FALSE
TRAPPC2L	Q9UL33	140	Q9UL33	140	TRUE	NM_001318525.2	NP_001305454.1	ENST00000696289.1	139	FALSE
TSPAN16	Q9UKR8	245	Q9UKR8	245	TRUE	NM_001282509.2	NP_001269438.1	ENST00000590327.6	244	FALSE
TUBGCP4	Q9UGJ1	667	Q9UGJ1	667	TRUE	NM_014444.5	NP_055259.2	ENST00000564079.6	666	FALSE
TUT4	Q5TAX3	1644	Q5TAX3	1644	TRUE	NM_001009881.3	NP_001009881.1	ENST00000257177.9	1645	FALSE
UCHL5	Q9Y5K5	329	Q9Y5K5	329	TRUE	NM_001199261.3	NP_001186190.1	ENST00000367454.6	328	FALSE
ZEB1	P37275	1124	P37275	1124	TRUE	NM_001174096.2	NP_001167567.1	ENST00000424869.6	1125	FALSE
ZNF33A	Q06730	810	Q06730	810	TRUE	NM_006954.2	NP_008885.1	ENST00000432900.7	811	FALSE
ZNF764	Q96H86	408	Q96H86	408	TRUE	NM_001172679.2	NP_001166150.1	ENST00000395091.3	407	FALSE
